publisher_docid;XP;batchid;time_stamp
week17b_5753870_5762435_5762454;XP031863096;XP031863096.pdf;20110624_165520
week17b_5753870_5762435_5762455;XP031863097;IEEECONFERENCE_week17b.xml;20110624_165520
week17b_5753870_5762435_5762455;XP031863097;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165520
week17b_5753870_5762435_5762455;XP031863097;XP031863097.pdf;20110624_165520
week17b_5753870_5762435_5762456;XP031863098;IEEECONFERENCE_week17b.xml;20110624_165520
week17b_5753870_5762435_5762456;XP031863098;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165520
week17b_5753870_5762435_5762456;XP031863098;XP031863098.pdf;20110624_165520
week17b_5753870_5762435_5762457;XP031863099;IEEECONFERENCE_week17b.xml;20110624_165520
week17b_5753870_5762435_5762457;XP031863099;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165520
week17b_5753870_5762435_5762457;XP031863099;XP031863099.pdf;20110624_165520
week17b_5753870_5762435_5762458;XP031863100;IEEECONFERENCE_week17b.xml;20110624_165520
week17b_5753870_5762435_5762458;XP031863100;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165520
week17b_5753870_5762435_5762458;XP031863100;XP031863100.pdf;20110624_165520
week17b_5753870_5762435_5762459;XP031863101;IEEECONFERENCE_week17b.xml;20110624_165520
week17b_5753870_5762435_5762459;XP031863101;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165520
week17b_5753870_5762435_5762459;XP031863101;XP031863101.pdf;20110624_165520
week17b_5753870_5762435_5762460;XP031863102;IEEECONFERENCE_week17b.xml;20110624_165520
week17b_5753870_5762435_5762460;XP031863102;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165520
week17b_5753870_5762435_5762460;XP031863102;XP031863102.pdf;20110624_165520
week17b_5753870_5762435_5762461;XP031863103;IEEECONFERENCE_week17b.xml;20110624_165520
week17b_5753870_5762435_5762461;XP031863103;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165520
week17b_5753870_5762435_5762461;XP031863103;XP031863103.pdf;20110624_165520
week17b_5753870_5762435_5762462;XP031863104;IEEECONFERENCE_week17b.xml;20110624_165520
week17b_5753870_5762435_5762462;XP031863104;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165520
week17b_5753870_5762435_5762462;XP031863104;XP031863104.pdf;20110624_165520
week17b_5753870_5762435_5762463;XP031863105;IEEECONFERENCE_week17b.xml;20110624_165520
week17b_5753870_5762435_5762463;XP031863105;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165520
week17b_5753870_5762435_5762463;XP031863105;XP031863105.pdf;20110624_165520
week17b_5753870_5762435_5762464;XP031863106;IEEECONFERENCE_week17b.xml;20110624_165520
week17b_5753870_5762435_5762464;XP031863106;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165520
week17b_5753870_5762435_5762464;XP031863106;XP031863106.pdf;20110624_165520
week17b_5753870_5762435_5762465;XP031863107;IEEECONFERENCE_week17b.xml;20110624_165520
week17b_5753870_5762435_5762465;XP031863107;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165520
week17b_5753870_5762435_5762465;XP031863107;XP031863107.pdf;20110624_165520
week17b_5753870_5762435_5762466;XP031863108;IEEECONFERENCE_week17b.xml;20110624_165520
week17b_5753870_5762435_5762466;XP031863108;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165520
week17b_5753870_5762435_5762466;XP031863108;XP031863108.pdf;20110624_165520
week17b_5753870_5762435_5762467;XP031863109;IEEECONFERENCE_week17b.xml;20110624_165520
week17b_5753870_5762435_5762467;XP031863109;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165520
week17b_5753870_5762435_5762467;XP031863109;XP031863109.pdf;20110624_165520
week17b_5753870_5762435_5762468;XP031863110;IEEECONFERENCE_week17b.xml;20110624_165520
week17b_5753870_5762435_5762468;XP031863110;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165520
week17b_5753870_5762435_5762468;XP031863110;XP031863110.pdf;20110624_165520
week17b_5753870_5762435_5762469;XP031863111;IEEECONFERENCE_week17b.xml;20110624_165520
week17b_5753870_5762435_5762469;XP031863111;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165520
week17b_5753870_5762435_5762469;XP031863111;XP031863111.pdf;20110624_165520
week17b_5753870_5762435_5762470;XP031863112;IEEECONFERENCE_week17b.xml;20110624_165520
week17b_5753870_5762435_5762470;XP031863112;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165520
week17b_5753870_5762435_5762470;XP031863112;XP031863112.pdf;20110624_165520
week17b_5753870_5762435_5762471;XP031863113;IEEECONFERENCE_week17b.xml;20110624_165520
