publisher_docid;batchid_in;time_stamp
week17b_1028_5760826_5760912;IEEEcnf/week17b/1028.zip;20110622_005947
week17b_1028_5760826_5760913;InspecMetadata/week17b/XML.zip;20110622_005947
week17b_1028_5760826_5760913;IEEEcnf/week17b/1028.zip;20110622_005947
week17b_1028_5760826_5760914;InspecMetadata/week17b/XML.zip;20110622_005947
week17b_1028_5760826_5760914;IEEEcnf/week17b/1028.zip;20110622_005947
week17b_1028_5760826_5760915;InspecMetadata/week17b/XML.zip;20110622_005947
week17b_1028_5760826_5760915;IEEEcnf/week17b/1028.zip;20110622_005947
week17b_1028_5760826_5760916;InspecMetadata/week17b/XML.zip;20110622_005948
week17b_1028_5760826_5760916;IEEEcnf/week17b/1028.zip;20110622_005948
week17b_1028_5760826_5760917;InspecMetadata/week17b/XML.zip;20110622_005949
week17b_1028_5760826_5760917;IEEEcnf/week17b/1028.zip;20110622_005949
week17b_1028_5760826_5760918;InspecMetadata/week17b/XML.zip;20110622_005949
week17b_1028_5760826_5760918;IEEEcnf/week17b/1028.zip;20110622_005949
week17b_1028_5760826_5760919;InspecMetadata/week17b/XML.zip;20110622_005949
week17b_1028_5760826_5760919;IEEEcnf/week17b/1028.zip;20110622_005949
week17b_1028_5760826_5760920;InspecMetadata/week17b/XML.zip;20110622_005949
week17b_1028_5760826_5760920;IEEEcnf/week17b/1028.zip;20110622_005949
week17b_1028_5760826_5760921;InspecMetadata/week17b/XML.zip;20110622_005949
week17b_1028_5760826_5760921;IEEEcnf/week17b/1028.zip;20110622_005949
week17b_1028_5760826_5760922;InspecMetadata/week17b/XML.zip;20110622_005950
week17b_1028_5760826_5760922;IEEEcnf/week17b/1028.zip;20110622_005950
week17b_1028_5760826_5760923;InspecMetadata/week17b/XML.zip;20110622_005950
week17b_1028_5760826_5760923;IEEEcnf/week17b/1028.zip;20110622_005950
week17b_1028_5760826_5760924;InspecMetadata/week17b/XML.zip;20110622_005951
week17b_1028_5760826_5760924;IEEEcnf/week17b/1028.zip;20110622_005951
week17b_1028_5760826_5760925;InspecMetadata/week17b/XML.zip;20110622_005951
week17b_1028_5760826_5760925;IEEEcnf/week17b/1028.zip;20110622_005951
week17b_1028_5760826_5760926;InspecMetadata/week17b/XML.zip;20110622_005951
week17b_1028_5760826_5760926;IEEEcnf/week17b/1028.zip;20110622_005951
week17b_1028_5760826_5760927;InspecMetadata/week17b/XML.zip;20110622_005951
week17b_1028_5760826_5760927;IEEEcnf/week17b/1028.zip;20110622_005951
week17b_1028_5760826_5760928;InspecMetadata/week17b/XML.zip;20110622_005951
week17b_1028_5760826_5760928;IEEEcnf/week17b/1028.zip;20110622_005951
week17b_1028_5760826_5760929;InspecMetadata/week17b/XML.zip;20110622_005952
week17b_1028_5760826_5760929;IEEEcnf/week17b/1028.zip;20110622_005952
week17b_1028_5760826_5760930;InspecMetadata/week17b/XML.zip;20110622_005952
week17b_1028_5760826_5760930;IEEEcnf/week17b/1028.zip;20110622_005952
week17b_1028_5760826_5760931;InspecMetadata/week17b/XML.zip;20110622_005953
week17b_1028_5760826_5760931;IEEEcnf/week17b/1028.zip;20110622_005953
week17b_1028_5760826_5760932;InspecMetadata/week17b/XML.zip;20110622_005953
week17b_1028_5760826_5760932;IEEEcnf/week17b/1028.zip;20110622_005953
week17b_1028_5760826_5760933;InspecMetadata/week17b/XML.zip;20110622_005953
week17b_1028_5760826_5760933;IEEEcnf/week17b/1028.zip;20110622_005953
week17b_1028_5760826_5760934;InspecMetadata/week17b/XML.zip;20110622_005953
week17b_1028_5760826_5760934;IEEEcnf/week17b/1028.zip;20110622_005953
week17b_1028_5760826_5760935;InspecMetadata/week17b/XML.zip;20110622_005954
week17b_1028_5760826_5760935;IEEEcnf/week17b/1028.zip;20110622_005954
week17b_1028_5760826_5760936;InspecMetadata/week17b/XML.zip;20110622_005954
week17b_1028_5760826_5760936;IEEEcnf/week17b/1028.zip;20110622_005954
week17b_1028_5760826_5760937;InspecMetadata/week17b/XML.zip;20110622_005954
week17b_1028_5760826_5760937;IEEEcnf/week17b/1028.zip;20110622_005954
week17b_1028_5760826_5760938;InspecMetadata/week17b/XML.zip;20110622_005954
week17b_1028_5760826_5760938;IEEEcnf/week17b/1028.zip;20110622_005954
week17b_1028_5760826_5760939;InspecMetadata/week17b/XML.zip;20110622_005954
week17b_1028_5760826_5760939;IEEEcnf/week17b/1028.zip;20110622_005954
week17b_1028_5760826_5760940;InspecMetadata/week17b/XML.zip;20110622_005955
week17b_1028_5760826_5760940;IEEEcnf/week17b/1028.zip;20110622_005955
week17b_1028_5760826_5760941;InspecMetadata/week17b/XML.zip;20110622_005955
week17b_1028_5760826_5760941;IEEEcnf/week17b/1028.zip;20110622_005955
week17b_1028_5760826_5760942;InspecMetadata/week17b/XML.zip;20110622_005956
week17b_1028_5760826_5760942;IEEEcnf/week17b/1028.zip;20110622_005956
week17b_1028_5760826_5760943;InspecMetadata/week17b/XML.zip;20110622_005956
week17b_1028_5760826_5760943;IEEEcnf/week17b/1028.zip;20110622_005956
week17b_1028_5760826_5760944;InspecMetadata/week17b/XML.zip;20110622_005956
week17b_1028_5760826_5760944;IEEEcnf/week17b/1028.zip;20110622_005956
week17b_1028_5760826_5760945;InspecMetadata/week17b/XML.zip;20110622_005956
week17b_1028_5760826_5760945;IEEEcnf/week17b/1028.zip;20110622_005956
week17b_1028_5760826_5760946;InspecMetadata/week17b/XML.zip;20110622_005956
week17b_1028_5760826_5760946;IEEEcnf/week17b/1028.zip;20110622_005956
week17b_1028_5760826_5760947;InspecMetadata/week17b/XML.zip;20110622_005957
week17b_1028_5760826_5760947;IEEEcnf/week17b/1028.zip;20110622_005957
week17b_1028_5760826_5760948;InspecMetadata/week17b/XML.zip;20110622_005957
week17b_1028_5760826_5760948;IEEEcnf/week17b/1028.zip;20110622_005957
week17b_1028_5760826_5760949;InspecMetadata/week17b/XML.zip;20110622_005958
week17b_1028_5760826_5760949;IEEEcnf/week17b/1028.zip;20110622_005958
week17b_1028_5760826_5760950;InspecMetadata/week17b/XML.zip;20110622_005958
