publisher_docid;XP;batchid;time_stamp
week4b_5692855_5704590_5704764;XP031889680;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704764;XP031889680;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704764;XP031889680;XP031889680.pdf;20110729_061254
week4b_5692855_5704590_5704765;XP031889681;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704765;XP031889681;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704765;XP031889681;XP031889681.pdf;20110729_061254
week4b_5692855_5704590_5704766;XP031889682;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704766;XP031889682;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704766;XP031889682;XP031889682.pdf;20110729_061254
week4b_5692855_5704590_5704767;XP031889683;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704767;XP031889683;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704767;XP031889683;XP031889683.pdf;20110729_061254
week4b_5692855_5704590_5704768;XP031889684;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704768;XP031889684;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704768;XP031889684;XP031889684.pdf;20110729_061254
week4b_5692855_5704590_5704769;XP031889685;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704769;XP031889685;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704769;XP031889685;XP031889685.pdf;20110729_061254
week4b_5692855_5704590_5704770;XP031889686;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704770;XP031889686;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704770;XP031889686;XP031889686.pdf;20110729_061254
week4b_5692855_5704590_5704771;XP031889687;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704771;XP031889687;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704771;XP031889687;XP031889687.pdf;20110729_061254
week4b_5692855_5704590_5704772;XP031889688;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704772;XP031889688;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704772;XP031889688;XP031889688.pdf;20110729_061254
week4b_5692855_5704590_5704773;XP031889689;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704773;XP031889689;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704773;XP031889689;XP031889689.pdf;20110729_061254
week4b_5692855_5704590_5704774;XP031889690;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704774;XP031889690;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704774;XP031889690;XP031889690.pdf;20110729_061254
week4b_5692855_5704590_5704775;XP031889691;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704775;XP031889691;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704775;XP031889691;XP031889691.pdf;20110729_061254
week4b_5692855_5704590_5704776;XP031889692;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704776;XP031889692;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704776;XP031889692;XP031889692.pdf;20110729_061254
week4b_5692855_5704590_5704777;XP031889693;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704777;XP031889693;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704777;XP031889693;XP031889693.pdf;20110729_061254
week4b_5692855_5704590_5704778;XP031889694;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704778;XP031889694;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704778;XP031889694;XP031889694.pdf;20110729_061254
week4b_5692855_5704590_5704779;XP031889695;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704779;XP031889695;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704779;XP031889695;XP031889695.pdf;20110729_061254
week4b_5692855_5704590_5704780;XP031889696;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704780;XP031889696;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704780;XP031889696;XP031889696.pdf;20110729_061254
week4b_5692855_5704590_5704781;XP031889697;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704781;XP031889697;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704781;XP031889697;XP031889697.pdf;20110729_061254
week4b_5692855_5704590_5704782;XP031889698;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704782;XP031889698;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704782;XP031889698;XP031889698.pdf;20110729_061254
week4b_5692855_5704590_5704783;XP031889699;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704783;XP031889699;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704783;XP031889699;XP031889699.pdf;20110729_061254
week4b_5692855_5704590_5704784;XP031889700;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704784;XP031889700;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704784;XP031889700;XP031889700.pdf;20110729_061254
week4b_5692855_5704590_5704785;XP031889701;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704785;XP031889701;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704785;XP031889701;XP031889701.pdf;20110729_061254
week4b_5692855_5704590_5704786;XP031889702;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704786;XP031889702;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704786;XP031889702;XP031889702.pdf;20110729_061254
week4b_5692855_5704590_5704787;XP031889703;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704787;XP031889703;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704787;XP031889703;XP031889703.pdf;20110729_061254
week4b_5692855_5704590_5704788;XP031889704;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704788;XP031889704;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704788;XP031889704;XP031889704.pdf;20110729_061254
week4b_5692855_5704590_5704789;XP031889705;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704789;XP031889705;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704789;XP031889705;XP031889705.pdf;20110729_061254
week4b_5692855_5704590_5704790;XP031889706;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704790;XP031889706;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704790;XP031889706;XP031889706.pdf;20110729_061254
week4b_5692855_5704590_5704791;XP031889707;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704791;XP031889707;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704791;XP031889707;XP031889707.pdf;20110729_061254
week4b_5692855_5704590_5704792;XP031889708;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704792;XP031889708;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704792;XP031889708;XP031889708.pdf;20110729_061254
week4b_5692855_5704590_5704793;XP031889709;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704793;XP031889709;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704793;XP031889709;XP031889709.pdf;20110729_061254
week4b_5692855_5704590_5704794;XP031889710;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704794;XP031889710;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704794;XP031889710;XP031889710.pdf;20110729_061254
week4b_5696799_5698278_5698279;XP031889711;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5696799_5698278_5698279;XP031889711;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5696799_5698278_5698279;XP031889711;XP031889711.pdf;20110729_061254
week4b_5696799_5698278_5698280;XP031889712;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5696799_5698278_5698280;XP031889712;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5696799_5698278_5698280;XP031889712;XP031889712.pdf;20110729_061254
week4b_5696799_5698278_5698281;XP031889713;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5696799_5698278_5698281;XP031889713;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5696799_5698278_5698281;XP031889713;XP031889713.pdf;20110729_061254
week4b_5696799_5698278_5698283;XP031889714;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5696799_5698278_5698283;XP031889714;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5696799_5698278_5698283;XP031889714;XP031889714.pdf;20110729_061254
