publisher_docid;batchid_out;status;time_stamp
week17b_1028_5760826_5761053;;noPdf;20110622_010037
week17b_1028_5760826_5761054;;noPdf;20110622_010038
week17b_1028_5760826_5761055;;noPdf;20110622_010038
week17b_1028_5760826_5761056;;noPdf;20110622_010038
week17b_1028_5760826_5761057;;noPdf;20110622_010038
week17b_1028_5760826_5761058;;noPdf;20110622_010038
week17b_1028_5760826_5761059;;noPdf;20110622_010038
week17b_1028_5760826_5761060;;noPdf;20110622_010038
week17b_1028_5760826_5761061;;noPdf;20110622_010038
week17b_1028_5760826_5761062;;noPdf;20110622_010038
week17b_1028_5760826_5761063;;noPdf;20110622_010038
week17b_1028_5760826_5761064;;noPdf;20110622_010038
week17b_1028_5760826_5761065;;noPdf;20110622_010038
week17b_1028_5760826_5761066;;noPdf;20110622_010038
week17b_1028_5760826_5761067;;noPdf;20110622_010038
week17b_1028_5760826_5761068;;noPdf;20110622_010038
week17b_1028_5760826_5761069;;noPdf;20110622_010038
week17b_1028_5760826_5761070;;noPdf;20110622_010038
week17b_1028_5760826_5761071;;noPdf;20110622_010038
week17b_1028_5760826_5761072;;noPdf;20110622_010038
week17b_1028_5760826_5761073;;noPdf;20110622_010038
week17b_1028_5760826_5761074;;noPdf;20110622_010038
week17b_1028_5760826_5761075;;noPdf;20110622_010038
week17b_1028_5760826_5761076;;noPdf;20110622_010038
week17b_1028_5760826_5761077;;noPdf;20110622_010038
week17b_1028_5760826_5761078;;noPdf;20110622_010038
week17b_1028_5760826_5761079;;noPdf;20110622_010038
week17b_1028_5760826_5761080;;noPdf;20110622_010038
week17b_1028_5760826_5761081;;noPdf;20110622_010038
week17b_1028_5760826_5761082;;noPdf;20110622_010038
week17b_1028_5760826_5761083;;noPdf;20110622_010038
week17b_1028_5760826_5761084;;noPdf;20110622_010038
week17b_1028_5760826_5761085;;noPdf;20110622_010038
week17b_1028_5760826_5761086;;noPdf;20110622_010038
week17b_1028_5760826_5761087;;noPdf;20110622_010038
week17b_1028_5760826_5761088;;noPdf;20110622_010038
week17b_1028_5760826_5761089;;noPdf;20110622_010038
week17b_1028_5760826_5761090;;noPdf;20110622_010038
week17b_1028_5760826_5761091;;noPdf;20110622_010038
week17b_1028_5760826_5761092;;noPdf;20110622_010039
week17b_1028_5760826_5761093;;noPdf;20110622_010039
week17b_1028_5760826_5761094;;noPdf;20110622_010039
week17b_1028_5760826_5761095;;noPdf;20110622_010039
week17b_1028_5760826_5761096;;noPdf;20110622_010039
week17b_1028_5760826_5761097;;noPdf;20110622_010039
week17b_1028_5760826_5761098;;noPdf;20110622_010039
week17b_1028_5760826_5761099;;noPdf;20110622_010039
week17b_1028_5760826_5761100;;noPdf;20110622_010039
week17b_1028_5760826_5761101;;noPdf;20110622_010039
week17b_1028_5760826_5761102;;noPdf;20110622_010039
week17b_1028_5760826_5761103;;noPdf;20110622_010039
week17b_1028_5760826_5761104;;noPdf;20110622_010039
week17b_1028_5760826_5761105;;noPdf;20110622_010039
week17b_1028_5760826_5761106;;noPdf;20110622_010039
week17b_1028_5760826_5761107;;noPdf;20110622_010039
week17b_1028_5760826_5761108;;noPdf;20110622_010039
week17b_1028_5760826_5761109;;noPdf;20110622_010039
week17b_1028_5760826_5761110;;noPdf;20110622_010039
week17b_1028_5760826_5761111;;noPdf;20110622_010039
week17b_1028_5760826_5761112;;noPdf;20110622_010039
week17b_1028_5760826_5761113;;noPdf;20110622_010039
week17b_1028_5760826_5761114;;noPdf;20110622_010039
week17b_1028_5760826_5761115;;noPdf;20110622_010039
week17b_1028_5760826_5761116;;noPdf;20110622_010039
week17b_1028_5760826_5761117;;noPdf;20110622_010039
week17b_1028_5760826_5761118;;noPdf;20110622_010039
week17b_1028_5760826_5761119;;noPdf;20110622_010039
week17b_1028_5760826_5761120;;noPdf;20110622_010039
week17b_1028_5760826_5761121;;noPdf;20110622_010039
week17b_1028_5760826_5761122;;noPdf;20110622_010039
week17b_1028_5760826_5761123;;noPdf;20110622_010039
week17b_1028_5760826_5761124;;noPdf;20110622_010039
week17b_1028_5760826_5761125;;noPdf;20110622_010039
week17b_1028_5760826_5761126;;noPdf;20110622_010039
week17b_1028_5760826_5761127;;noPdf;20110622_010039
week17b_1028_5760826_5761128;;noPdf;20110622_010039
week17b_1028_5760826_5761129;;noPdf;20110622_010039
week17b_1028_5760826_5761130;;noPdf;20110622_010039
week17b_1028_5760826_5761131;;noPdf;20110622_010039
week17b_1028_5760826_5761132;;noPdf;20110622_010039
week17b_1028_5760826_5761133;;noPdf;20110622_010039
week17b_1028_5760826_5761134;;noPdf;20110622_010039
week17b_1028_5760826_5761135;;noPdf;20110622_010040
week17b_1028_5760826_5761136;;noPdf;20110622_010040
week17b_1028_5760826_5761137;;noPdf;20110622_010040
week17b_1028_5760826_5761138;;noPdf;20110622_010040
week17b_1028_5760826_5761139;;noPdf;20110622_010040
week17b_1028_5760826_5761140;;noPdf;20110622_010040
week17b_1028_5760826_5761141;;noPdf;20110622_010040
week17b_1028_5760826_5761142;;noPdf;20110622_010040
week17b_1028_5760826_5761143;;noPdf;20110622_010040
week17b_1028_5760826_5761144;;noPdf;20110622_010040
week17b_1028_5760826_5761145;;noPdf;20110622_010040
week17b_1028_5760826_5761146;;noPdf;20110622_010040
week17b_1028_5760826_5761147;;noPdf;20110622_010040
week17b_1028_5760826_5761148;;noPdf;20110622_010040
week17b_1028_5760826_5761149;;noPdf;20110622_010040
week17b_1028_5760826_5761150;;noPdf;20110622_010040
week17b_1028_5760826_5761151;;noPdf;20110622_010040
week17b_1028_5760826_5761152;;noPdf;20110622_010040
week17b_1028_5760826_5761153;;noPdf;20110622_010040
week17b_1028_5760826_5761154;;noPdf;20110622_010041
week17b_1028_5760826_5761155;;noPdf;20110622_010041
week17b_1028_5760826_5761156;;noPdf;20110622_010041
week17b_1028_5760826_5761157;;noPdf;20110622_010041
week17b_1028_5760826_5761158;;noPdf;20110622_010041
week17b_1028_5760826_5761159;;noPdf;20110622_010041
week17b_1028_5760826_5761160;;noPdf;20110622_010041
week17b_1028_5760826_5761161;;noPdf;20110622_010041
week17b_1028_5760826_5761162;;noPdf;20110622_010041
week17b_1028_5760826_5761163;;noPdf;20110622_010041
week17b_1028_5760826_5761164;;noPdf;20110622_010041
week17b_1028_5760826_5761165;;noPdf;20110622_010041
week17b_1028_5760826_5761166;;noPdf;20110622_010041
week17b_1028_5760826_5761167;;noPdf;20110622_010041
week17b_1028_5760826_5761168;;noPdf;20110622_010041
