publisher_docid;XP;batchid;time_stamp
week4a_5608545_5625939_5627228;XP031883779;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627228;XP031883779;XP031883779.pdf;20110728_064654
week4a_5608545_5625939_5627229;XP031883780;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627229;XP031883780;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627229;XP031883780;XP031883780.pdf;20110728_064654
week4a_5608545_5625939_5627230;XP031883781;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627230;XP031883781;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627230;XP031883781;XP031883781.pdf;20110728_064654
week4a_5608545_5625939_5627231;XP031883782;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627231;XP031883782;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627231;XP031883782;XP031883782.pdf;20110728_064654
week4a_5608545_5625939_5627232;XP031883783;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627232;XP031883783;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627232;XP031883783;XP031883783.pdf;20110728_064654
week4a_5608545_5625939_5627233;XP031883784;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627233;XP031883784;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627233;XP031883784;XP031883784.pdf;20110728_064654
week4a_5608545_5625939_5627234;XP031883785;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627234;XP031883785;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627234;XP031883785;XP031883785.pdf;20110728_064654
week4a_5608545_5625939_5627235;XP031883786;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627235;XP031883786;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627235;XP031883786;XP031883786.pdf;20110728_064654
week4a_5608545_5625939_5627236;XP031883787;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627236;XP031883787;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627236;XP031883787;XP031883787.pdf;20110728_064654
week4a_5608545_5625939_5627237;XP031883788;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627237;XP031883788;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627237;XP031883788;XP031883788.pdf;20110728_064654
week4a_5608545_5625939_5627238;XP031883789;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627238;XP031883789;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627238;XP031883789;XP031883789.pdf;20110728_064654
week4a_5608545_5625939_5627239;XP031883790;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627239;XP031883790;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627239;XP031883790;XP031883790.pdf;20110728_064654
week4a_5608545_5625939_5627240;XP031883791;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627240;XP031883791;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627240;XP031883791;XP031883791.pdf;20110728_064654
week4a_5608545_5625939_5627241;XP031883792;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627241;XP031883792;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627241;XP031883792;XP031883792.pdf;20110728_064654
week4a_5608545_5625939_5627242;XP031883793;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627242;XP031883793;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627242;XP031883793;XP031883793.pdf;20110728_064654
week4a_5608545_5625939_5627243;XP031883794;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627243;XP031883794;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627243;XP031883794;XP031883794.pdf;20110728_064654
week4a_5608545_5625939_5627244;XP031883795;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627244;XP031883795;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627244;XP031883795;XP031883795.pdf;20110728_064654
